id,value,color
ori,
ori.Software,
ori.Software.General
ori.Software.General.Photoshop,1.5,#2E2575
ori.Software.General.MS Office, 3,#E54F24
ori.Software.General.Latex,3, #563B7E
ori.Software.Scientific,
ori.Software.Scientific.Gromos,3, #5a7d00
ori.Software.Scientific.Gromacs,2.5,#1169AE
ori.Software.Scientific.RdKit,2, #018d94
ori.Software.Scientific.Pymol,3,#00A10B
ori.Software.Scientific.Coot,1,#1169AE
ori.Software.Scientific.Avogadro, 1.5,#563B7E
ori.Software.Scientific.Chemsketch, 1.5,#F6854D
ori.Software.Scientific.Knime,2,#D6BA33
ori.coding,
ori.coding.programming
ori.coding.programming.Java,2.75, #FF1A00
ori.coding.programming.C#, 2.5, #8A00AD
ori.coding.programming.C++, 2.5, #0073AD
ori.coding.programming.C, 1, #0857AD
ori.coding.scripting
ori.coding.scripting.Python, 3, #00A10B
ori.coding.scripting.Bash, 2.0, #de7a00
ori.coding.scripting.Julia, 2.0, #2200ff
ori.coding.scripting.R, 1, #FF8F00
ori.coding.scripting.perl, 0.5, #00CFFF
ori.coding.web,
ori.coding.web.HTML, 2.5, #FF4D00
ori.coding.web.CSS, 2.5, #4A00FF
ori.coding.web.JavaScript, 2.75, #FF0030
ori.coding.web.php, 1, #6A00FF
ori.coding.web.SQL, 1, #aba500
